Company ID,Wage,Wage Type,Zip Code of Residence
22,"52,011.93",Salary,55125
22,"83,944.30",Salary,55118
22,"74,907.89",Salary,55016
22,"67,241.00",Salary,76308
22,"73,466.00",Salary,80027
22,"71,142.91",Salary,55042
22,"70,916.00",Salary,30506
22,"126,384.73",Salary,55316
22,"81,453.00",Salary,63367
22,"52,349.00",Salary,55014
22,"53,931.29",Salary,55033
22,"104,179.00",Salary,46204
22,"98,660.00",Salary,10305
22,"195,548.00",Salary,55304
22,"76,254.00",Salary,33426
22,19.39,Hourly,55076
22,"75,525.00",Salary,80211
22,"70,448.00",Salary,53012
22,"86,688.00",Salary,70448
22,"153,912.80",Salary,55446
22,"125,927.63",Salary,55038
22,"68,512.16",Salary,54889
22,"86,298.00",Salary,33904
22,"58,123.70",Salary,55016
22,"202,704.40",Salary,55082
22,"87,938.94",Salary,54025
22,"71,056.00",Salary,48843
22,"76,289.00",Salary,2718
22,"69,429.00",Salary,55038
22,"70,214.10",Salary,55305
22,"40,677.24",Salary,55432
22,"106,674.00",Salary,80123
22,"71,098.00",Salary,15214
22,"69,785.00",Salary,76107
22,"67,997.00",Salary,46032
22,"205,784.00",Salary,55082
22,"166,063.00",Salary,55391
22,"125,174.40",Salary,55412
22,"124,654.27",Salary,55125
22,"60,381.17",Salary,55119
30,"45,224.00",Salary,29654
30,"42,344.00",Salary,29681
30,"43,837.00",Salary,29720
30,"177,819.00",Salary,29907
30,20.43,Hourly,29907
30,"130,050.00",Salary,30441
30,"108,015.00",Salary,33569
30,"35,058.00",Salary,33614
30,"33,905.00",Salary,33713
30,"74,602.00",Salary,33714
30,"93,887.00",Salary,43055
30,"54,191.00",Salary,50154
30,"194,496.00",Salary,55044
30,"42,754.00",Salary,55311
30,"42,917.00",Salary,55379
30,20.19,Hourly,55379
30,"46,997.00",Salary,55403
30,"40,562.00",Salary,55407
30,"68,638.00",Salary,55408
30,"62,737.00",Salary,55416
30,"75,461.00",Salary,55428
30,"36,259.00",Salary,55433
30,"248,994.00",Salary,55439
30,"41,819.00",Salary,56347
30,"37,220.00",Salary,68512
30,"75,595.00",Salary,68516
30,"50,760.00",Salary,75001
30,"64,408.00",Salary,75007
30,"64,026.00",Salary,75048
30,"130,664.00",Salary,75226
30,"110,775.00",Salary,75248
30,"71,462.00",Salary,78665
30,"176,463.00",Salary,78681
30,"82,934.00",Salary,78681
30,"97,149.00",Salary,78729
30,"63,612.00",Salary,78756
30,"57,808.00",Salary,94107
30,"54,085.00",Salary,2141
30,23.40,Hourly,15656
30,"48,865.00",Salary,29455
30,"37,643.00",Salary,29607
30,"35,824.00",Salary,29615
30,"49,069.00",Salary,29626
33,"209,379.00",Salary,97520
33,"144,431.00",Salary,97202
33,"125,475.00",Salary,97504
33,"107,773.00",Salary,97544
33,"107,246.00",Salary,97526
33,"111,604.00",Salary,97527
33,"87,082.00",Salary,97544
33,"87,155.00",Salary,4074
33,"89,938.00",Salary,97530
33,"87,182.00",Salary,80207
33,"82,240.00",Salary,97544
33,"81,948.00",Salary,97544
33,"77,874.00",Salary,97520
33,"70,579.00",Salary,99109
33,"72,245.00",Salary,97533
33,"70,568.00",Salary,97526
33,"63,599.00",Salary,97544
33,"59,162.00",Salary,97544
33,"55,106.00",Salary,97502
33,"50,801.50",Salary,97526
33,"52,471.00",Salary,97544
33,"49,113.00",Salary,97526
33,"45,842.00",Salary,97526
33,24.44,Hourly,97527
33,21.75,Hourly,97526
33,21.53,Hourly,97544
33,21.36,Hourly,97527
33,20.57,Hourly,97526
33,20.64,Hourly,97527
33,20.09,Hourly,97544
33,19.84,Hourly,97532
33,19.87,Hourly,97527
33,19.59,Hourly,97527
33,19.28,Hourly,97530
33,18.70,Hourly,97527
33,17.91,Hourly,97526
33,17.61,Hourly,97523
33,17.03,Hourly,97544
33,16.67,Hourly,97523
33,16.75,Hourly,97526
33,16.62,Hourly,97544
33,16.35,Hourly,97527
33,15.89,Hourly,97544
33,15.86,Hourly,97526
33,15.68,Hourly,97544
33,15.76,Hourly,97544
33,15.59,Hourly,97527
33,15.34,Hourly,97544
33,15.49,Hourly,97527
33,15.24,Hourly,97526
33,15.01,Hourly,97527
33,15.01,Hourly,97526
33,14.15,Hourly,97526
33,14.10,Hourly,97544
33,13.52,Hourly,97527
33,13.42,Hourly,97544
33,13.18,Hourly,97544
33,13.20,Hourly,97526
33,13.13,Hourly,97526
33,13.07,Hourly,97526
33,13.08,Hourly,97544
33,12.79,Hourly,97544
33,12.76,Hourly,97544
33,12.79,Hourly,97544
33,12.81,Hourly,97527
33,12.77,Hourly,97526
33,12.71,Hourly,97527
33,12.47,Hourly,97525
33,12.40,Hourly,97527
33,12.45,Hourly,97527
33,12.19,Hourly,97527
33,12.08,Hourly,97526
33,12.10,Hourly,97523
33,11.98,Hourly,97527
33,12.04,Hourly,97527
33,12.00,Hourly,97526
33,11.95,Hourly,97526
33,11.84,Hourly,97526
33,11.65,Hourly,97544
33,11.78,Hourly,97527
33,11.68,Hourly,97526
33,11.58,Hourly,97527
33,11.60,Hourly,97527
33,11.59,Hourly,97526
33,11.41,Hourly,97544
33,11.48,Hourly,97526
33,11.27,Hourly,97527
33,11.02,Hourly,97527
33,10.68,Hourly,97526
33,10.50,Hourly,97526
33,10.45,Hourly,97526
33,10.52,Hourly,97527
33,10.52,Hourly,97527
33,10.34,Hourly,97530
33,10.34,Hourly,97544
33,10.49,Hourly,97544
