ZCTA5,MEMI,CBSA,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
707,1,41980,12225,5546,58378173,54561503,12225,5546,58378173,54561503,2478905,1073552,5223033344,4117856690,100,100,100,100,0.49,0.52,1.12,1.32
714,1,25020,19566,8871,37901916,37859151,19566,8871,37901916,37859151,84214,37946,564011616,328148208,100,100,100,100,23.23,23.38,6.72,11.54
715,1,38660,3656,1532,20584363,20434129,3656,1532,20584363,20434129,243147,99359,874803803,545648108,100,100,100,100,1.5,1.54,2.35,3.74
716,1,38660,33779,14275,30049311,22081777,33779,14275,30049311,22081777,243147,99359,874803803,545648108,100,100,100,100,13.89,14.37,3.43,4.05
717,1,38660,18457,9518,5526660,5417561,18457,9518,5526660,5417561,243147,99359,874803803,545648108,100,100,100,100,7.59,9.58,0.63,0.99
718,1,41980,26606,11970,120629614,117172329,26606,11970,120629614,117172329,2478905,1073552,5223033344,4117856690,100,100,100,100,1.07,1.11,2.31,2.85
719,1,41980,30990,11496,73426199,72527843,30990,11496,73426199,72527843,2478905,1073552,5223033344,4117856690,100,100,100,100,1.25,1.07,1.41,1.76
720,2,17620,121,41,997370,997370,23129,9059,154654537,154368018,71590,31096,497661896,381705801,0.52,0.45,0.64,0.65,0.17,0.13,0.2,0.26
720,1,41980,23008,9018,153657167,153370648,23129,9059,154654537,154368018,2478905,1073552,5223033344,4117856690,99.48,99.55,99.36,99.35,0.93,0.84,2.94,3.72
723,1,25020,19277,9358,120873733,119554076,19277,9358,120873733,119554076,84214,37946,564011616,328148208,100,100,100,100,22.89,24.66,21.43,36.43
725,1,41980,89374,38678,110381424,109190812,89374,38678,110381424,109190812,2478905,1073552,5223033344,4117856690,100,100,100,100,3.61,3.6,2.11,2.65
727,1,41980,58382,23679,55854034,55827071,58382,23679,55854034,55827071,2478905,1073552,5223033344,4117856690,100,100,100,100,2.36,2.21,1.07,1.36
728,1,38660,44908,16698,62143525,40524719,44908,16698,62143525,40524719,243147,99359,874803803,545648108,100,100,100,100,18.47,16.81,7.1,7.43
729,1,41980,53750,21688,88323600,87958918,53750,21688,88323600,87958918,2478905,1073552,5223033344,4117856690,100,100,100,100,2.17,2.02,1.69,2.14
730,1,38660,35742,16253,16973860,16850026,35742,16253,16973860,16850026,243147,99359,874803803,545648108,100,100,100,100,14.7,16.36,1.94,3.09
731,2,10260,342,144,3431345,3431345,15524,5962,126414374,123332268,19483,8125,173777444,172725651,2.2,2.42,2.71,2.78,1.76,1.77,1.97,1.99
731,1,38660,15182,5818,122983029,119900923,15524,5962,126414374,123332268,243147,99359,874803803,545648108,97.8,97.58,97.29,97.22,6.24,5.86,14.06,21.97
735,1,21940,13617,7700,58551309,56708945,13730,7749,62204914,60362550,70692,38114,804692323,219399913,99.18,99.37,94.13,93.95,19.26,20.2,7.28,25.85
